r2_lr1-e4	r4_lr1-e4	r8_lr1-e4
10.6	5.68	5.98
10.6	5.68	5.98
1.31	3.5	5.07
1.31	3.5	5.07
3.13	5.94	5.57
3.13	5.94	5.57
6.33	1.71	5.95
6.33	1.71	5.95
1.14	1.79	5.67
1.14	1.79	5.67
1.06	8.62	3.07
1.06	8.62	3.07
3.19	3.31	5.41
3.19	3.31	5.41
1.78	7.27	6.78
1.78	7.27	6.78
8.36	6.48	3.32
8.36	6.48	3.32
4.8	7.95	4.73
4.8	7.95	4.73
1.63	4.56	1.2
1.63	4.56	1.2
10.5	7.29	3.76
10.5	7.29	3.76
6.74	1.12	1.29
6.74	1.12	1.29
1.68	2.9	2.08
1.68	2.9	2.08
11.4	5.03	1.56
11.4	5.03	1.56
8.29	2.1	3.69
8.29	2.1	3.69
4.44	7.21	4.18
4.44	7.21	4.18
3.14	2.01	4.54
3.14	2.01	4.54
7.61	2.69	2.97
7.61	2.69	2.97
8.13	3.88	1.75
8.13	3.88	1.75
5.11	2.91	1.65
5.11	2.91	1.65
2.99	5.76	2.81
2.99	5.76	2.81
2.54	1.96	3.18
2.54	1.96	3.18
4.22	1.39	3.87
4.22	1.39	3.87
4.47	3.18	1.24
4.47	3.18	1.24
3.96	1.48	5.84
3.96	1.48	5.84
2.44	2.63	2.26
2.44	2.63	2.26
4.38	4.1	1.17
4.38	4.1	1.17
3.1	1.7	2.02
3.1	1.7	2.02
4.4	1.29	2.99
4.4	1.29	2.99
3.49	2.26	1.93
3.49	2.26	1.93
7.01	1.55	1.9
7.01	1.55	1.9
1.32	1.51	1.54
1.32	1.51	1.54
4.78	1.42	1.08
4.78	1.42	1.08
0.829	1.5	1.95
0.829	1.5	1.95
1.63	1.27	1.06
1.63	1.27	1.06
4.57	1.21	1.21
4.57	1.21	1.21
1.74	2.58	1.05
1.74	2.58	1.05
4.25	1.46	1.94
4.25	1.46	1.94
1.61	1.28	1.14
1.61	1.28	1.14
3.62	1.05	1.17
3.62	1.05	1.17
3.32	3.69	2.8
3.32	3.69	2.8
4.62	1.13	2.41
4.62	1.13	2.41
3.26	1.17	1.48
3.26	1.17	1.48
3.12	1.28	1.38
3.12	1.28	1.38
4.86	1.25	1.58
4.86	1.25	1.58
2.6	1.06	1.03
2.6	1.06	1.03
1.87	2.19	1.04
1.87	2.19	1.04
1.33	1.29	1.15
1.33	1.29	1.15
1.86	3.21	1.17
1.86	3.21	1.17
1.2	1.24	1.02
1.2	1.24	1.02
1.56	1.08	1.06
1.56	1.08	1.06
1.24	1.87	1.02
1.24	1.87	1.02
1.3	1.36	0.948
1.3	1.36	0.948
3.55	1.44	0.852
3.55	1.44	0.852
3.47	1.09	0.717
3.47	1.09	0.717
1.32	0.928	0.965
1.32	0.928	0.965
2.78	1.01	1.1
2.78	1.01	1.1
2.71	1.96	1.02
2.71	1.96	1.02
0.89	1.01	1.06
0.89	1.01	1.06
0.939	1.6	3.69
0.939	1.6	3.69
1.31	1.1	1.08
1.31	1.1	1.08
2.97	1.89	1.18
2.97	1.89	1.18
1.24	3.26	0.91
1.24	3.26	0.91
1.22	1.17	0.805
1.22	1.17	0.805
1.12	0.723	1.13
1.12	0.723	1.13
3.86	0.99	0.705
3.86	0.99	0.705
2.92	1.13	0.933
2.92	1.13	0.933
2.49	0.982	0.739
2.49	0.982	0.739
1.23	0.984	1.07
1.23	0.984	1.07
1.44	0.933	0.697
1.44	0.933	0.697
1.24	0.818	1.32
1.24	0.818	1.32
1.24	1.14	0.881
1.24	1.14	0.881
1.03	1.22	0.896
1.03	1.22	0.896
1.04	0.96	1.06
1.04	0.96	1.06
1.05	1.2	1.2
1.05	1.2	1.2
1.26	0.913	0.753
1.26	0.913	0.753
1.2	0.841	0.794
1.2	0.841	0.794
0.686	1.2	0.809
0.686	1.2	0.809
1.2	0.709	0.653
1.2	0.709	0.653
1.05	0.953	1.14
1.05	0.953	1.14
1.24	0.86	0.904
1.24	0.86	0.904
1.08	0.939	0.625
1.08	0.939	0.625
1.01	0.684	0.744
1.01	0.684	0.744
0.856	0.773	1.04
0.856	0.773	1.04
2	0.919	0.983
2	0.919	0.983
1.62	0.681	0.664
1.62	0.681	0.664
0.946	0.819	0.866
0.946	0.819	0.866
1.1	0.807	0.905
